,X,Y,Z,          U-U1,          U-U2,          U-U3,S11,S22,S12
28887,16.0,-45.0,0.00367099,  -594.512E-03,   64.3631E-03,       4.88997,-0.026559,-0.00659327,-0.000136867
28892,15.0,-45.0,0.00379654,  -580.680E-03,   64.3660E-03,       5.05550,-0.0291983,-0.00741131,-0.000167872
28895,14.0,-45.0,0.00391653,  -568.047E-03,   64.3682E-03,       5.21372,-0.0317266,-0.00821297,-0.000191539
28896,13.0,-45.0,0.00403048,  -556.655E-03,   64.3695E-03,       5.36401,-0.0341294,-0.00898909,-0.000207118
28901,12.0,-45.0,0.00413793,  -546.523E-03,   64.3701E-03,       5.50576,-0.0363937,-0.00973133,-0.000214526
28902,11.0,-45.0,0.00423844,  -537.655E-03,   64.3700E-03,       5.63840,-0.0385082,-0.0104324,-0.000214238
28907,10.0,-45.0,0.00433162,  -530.032E-03,   64.3694E-03,       5.76139,-0.040463,-0.0110861,-0.00020716
28910,9.0,-45.0,0.00441709,  -523.615E-03,   64.3684E-03,       5.87423,-0.0422501,-0.0116876,-0.000194471
28911,8.0,-45.0,0.00449451,  -518.346E-03,   64.3672E-03,       5.97647,-0.0438629,-0.012233,-0.000177466
28916,7.0,-45.0,0.00456357,  -514.150E-03,   64.3657E-03,       6.06768,-0.0452961,-0.0127192,-0.000157426
28917,6.0,-45.0,0.00462399,  -510.933E-03,   64.3643E-03,       6.14750,-0.0465455,-0.0131441,-0.0001355
28922,5.0,-45.0,0.00467553,  -508.586E-03,   64.3630E-03,       6.21560,-0.0476077,-0.0135059,-0.000112635
28925,4.0,-45.0,0.00471798,  -506.987E-03,   64.3618E-03,       6.27170,-0.0484802,-0.0138033,-8.95254e-05
28926,3.0,-45.0,0.00475118,  -506.001E-03,   64.3608E-03,       6.31558,-0.0491608,-0.0140356,-6.66087e-05
28931,2.0,-45.0,0.00477499,  -505.484E-03,   64.3601E-03,       6.34705,-0.0496481,-0.0142019,-4.40781e-05
28932,1.0,-45.0,0.00478931,  -505.283E-03,   64.3596E-03,       6.36598,-0.0499409,-0.0143019,-2.19258e-05
28937,-4.421819999999999e-29,-45.0,0.00479409,  -505.241E-03,   64.3595E-03,       6.37230,-0.0500385,-0.0143353,0.0
28940,-1.0,-45.0,0.00478931,  -505.199E-03,   64.3596E-03,       6.36598,-0.0499409,-0.0143019,2.19258e-05
28941,-2.0,-45.0,0.00477499,  -504.998E-03,   64.3601E-03,       6.34705,-0.0496481,-0.0142019,4.40781e-05
28946,-3.0,-45.0,0.00475118,  -504.480E-03,   64.3608E-03,       6.31558,-0.0491608,-0.0140356,6.66087e-05
28947,-4.0,-45.0,0.00471798,  -503.494E-03,   64.3618E-03,       6.27170,-0.0484802,-0.0138033,8.95254e-05
28952,-5.0,-45.0,0.00467553,  -501.895E-03,   64.3630E-03,       6.21560,-0.0476077,-0.0135059,0.000112635
28955,-6.0,-45.0,0.00462399,  -499.549E-03,   64.3643E-03,       6.14750,-0.0465455,-0.0131441,0.0001355
28956,-7.0,-45.0,0.00456357,  -496.332E-03,   64.3657E-03,       6.06768,-0.0452961,-0.0127192,0.000157426
28961,-8.0,-45.0,0.00449451,  -492.136E-03,   64.3672E-03,       5.97647,-0.0438629,-0.012233,0.000177466
28962,-9.0,-45.0,0.00441709,  -486.867E-03,   64.3684E-03,       5.87423,-0.0422501,-0.0116876,0.000194471
