,X,Y,U,V,Sig_x,Sig_y,Sig_xy
3583,-8.758610000000001,9.41381,0.0288404,-0.0173946,1.57387,0.0430224,-0.12566
3584,9.41313,6.17428,0.382343,0.0990072,1.0245,0.126063,-0.0445033
3585,-6.1997800000000005,-9.424539999999999,0.114113,0.0600526,1.97058,-0.0170099,0.0983422
3586,9.42459,-1.1891399999999999,0.48580500000000004,0.075779,1.01461,0.61248,0.061477300000000006
3587,9.43644,1.17269,0.482365,0.0890347,1.00357,0.7330369999999999,-0.00675466
3588,6.20627,9.40886,0.26122,0.0154061,1.02482,-0.00468511,0.0346736
3589,9.43708,-3.8284800000000003,0.464525,0.0689585,1.01686,0.356813,0.054197800000000004
3590,-9.43646,-1.17276,0.00304397,0.002674,0.41366899999999995,0.14214200000000002,0.13759100000000002
3591,-9.42408,6.18759,0.00872409,-0.00248845,1.15856,0.279999,-0.112999
3592,-9.44242,3.8334300000000003,0.00706536,-0.000442944,0.969608,0.235395,-0.020847900000000003
3593,-9.42457,-3.8111800000000002,0.00298939,0.000518051,0.39638,0.184106,0.017394299999999998
3594,6.17767,-9.415230000000001,0.350056,0.112471,1.1531,-0.00045778699999999997,0.029844
3595,-3.79143,-9.3131,0.173757,0.122154,1.54945,0.00792745,0.24139499999999997
3596,1.21098,9.41499,0.195303,-0.06999630000000001,0.8595139999999999,0.00850835,-0.00289847
3597,3.7880800000000003,9.40178,0.227584,-0.0342049,0.92358,0.00457883,0.059229899999999995
3598,9.4247,3.8107300000000004,0.439637,0.100803,1.0176,0.453854,-0.0956587
3599,3.8093,-9.43405,0.308213,0.134357,1.27851,-0.00857479,-0.00026261599999999997
3600,1.20838,-9.316310000000001,0.261646,0.16278399999999998,1.22844,-0.00592549,-0.0914635
3601,-1.1953799999999999,-9.43788,0.22246,0.17244400000000001,1.06925,0.0345992,0.022217599999999997
3602,-9.41405,-6.17464,0.00752663,2.3976799999999997e-05,0.983706,0.243973,-0.0150763
3603,-9.4346,1.1914,0.00536088,0.00182216,0.727787,0.161635,0.09094680000000001
3604,-6.3369800000000005,9.45991,0.07933810000000001,-0.0418091,1.3505,-0.00105989,-0.0449032
3605,-1.21041,9.40992,0.163993,-0.0785232,0.956368,0.0053939,-0.03613280000000001
3606,-3.7789800000000002,9.3312,0.124911,-0.06464,1.16434,0.000625551,-0.0789054
3607,-5.33898,-2.5487599999999997,0.011235799999999999,0.014990200000000002,-0.0382829,-0.625066,0.0506154
3608,0.5481550000000001,-5.2146,0.31672100000000003,0.143984,1.19633,0.331456,0.636849
3609,0.15054800000000002,-0.397619,0.282588,0.03926690000000001,2.57789,-0.183646,-0.511884
3610,-0.644465,0.28597,0.189756,-0.019324,2.7528200000000003,0.288982,-0.81648
3611,-9.16099,-9.37779,0.0255458,0.012184100000000002,2.18127,0.10077,0.1613
3612,9.34303,9.146230000000001,0.312452,0.0854904,1.01221,0.00303213,0.021641900000000002
3613,9.12463,9.361139999999999,0.304585,0.07960489999999999,1.01214,0.00266358,0.021732599999999998
3614,-9.3654,-9.15755,0.0178568,0.0077647,2.08842,0.23002199999999998,0.22311999999999999
3615,9.37683,-9.160839999999999,0.401723,0.0819315,1.0158200000000002,0.00809278,-0.00378149
3616,9.15695,-9.3657,0.396412,0.0850629,1.01815,0.00617661,-0.00333534
3617,-9.38348,9.162460000000001,0.0132764,-0.00800416,1.59853,0.21484099999999998,-0.27079200000000003
3618,-9.1666,9.368960000000001,0.0191875,-0.0119902,1.6427599999999998,0.102204,-0.20323
3619,9.415510000000001,-0.795059,0.487079,0.0776202,1.01268,0.645171,0.057849199999999996
3620,9.41238,5.78784,0.391835,0.0999791,1.0256100000000001,0.16585999999999998,-0.0576232
3621,-5.81029,-9.41992,0.12498800000000002,0.0688576,1.9282299999999999,-0.018246400000000003,0.12165799999999999
3622,-9.42605,4.21584,0.00749617,-0.0007750039999999999,0.999458,0.24295799999999998,-0.0352736
3623,-9.41579,5.7933699999999995,0.00859465,-0.00215282,1.1251,0.27311199999999997,-0.0963283
3624,9.41799,0.789479,0.48489799999999994,0.08655310000000001,1.00329,0.728452,0.010562799999999999
3625,5.80379,9.40195,0.25552199999999997,0.00680461,1.01701,-0.00482061,0.0420266
3626,-4.23761,-9.39349,0.16517300000000001,0.110233,1.6448,-0.00372492,0.214714
3627,9.419960000000001,-4.2117,0.46006400000000003,0.0689472,1.0163200000000001,0.31921900000000003,0.053701099999999995
3628,5.79134,-9.411480000000001,0.343625,0.11576700000000001,1.17737,-0.0016385,0.0295222
3629,4.19024,9.39898,0.232975,-0.0265328,0.946533,0.00202376,0.061013
3630,0.813787,9.41797,0.190371,-0.0730173,0.868231,0.00650497,-0.011186100000000001
3631,4.20199,-9.41577,0.31559499999999996,0.130305,1.26472,-0.00739249,0.00962775
3632,-9.41515,-4.20541,0.00352914,0.00018810299999999998,0.461089,0.192063,-0.00136834
3633,-9.41269,-5.78906,0.00663059,-0.00019131400000000002,0.8646229999999999,0.230988,-0.0253333
3634,0.761787,-9.39462,0.2534,0.16758599999999998,1.1744700000000001,0.00249221,-0.0906552
3635,-0.807711,-9.425130000000001,0.22832,0.17411,1.06884,0.0299796,-0.0143972
3636,-9.416739999999999,0.799124,0.00516528,0.00217812,0.6800729999999999,0.152305,0.106398
3637,-9.417539999999999,-0.789401,0.00350782,0.00281216,0.461737,0.140206,0.14056
3638,9.41533,4.20475,0.43048100000000006,0.1012,1.02106,0.389135,-0.095424
3639,-0.773173,9.32553,0.170078,-0.0783195,0.9551540000000001,0.0053589,-0.0345554
3640,-5.77427,9.43708,0.0899284,-0.046912199999999994,1.3144,-0.00262243,-0.0503228
3641,9.41736,-5.79456,0.441223,0.0703284,1.0157200000000002,0.180583,0.043037099999999995
3642,-4.21568,9.401760000000001,0.117923,-0.061184699999999995,1.1960600000000001,-0.00172032,-0.07012260000000001
3643,-1.76357,0.5122680000000001,0.138427,-0.036004699999999994,2.5565,0.508887,-0.5644319999999999
3644,-2.48105,2.21539,0.107547,-0.0314219,1.2115799999999999,0.46642700000000004,-0.0124508
3645,-1.43226,0.585067,0.147284,-0.0356366,2.30786,0.6006520000000001,-0.7138760000000001
3646,-1.3583,-6.549259999999999,0.211127,0.159615,2.91483,0.41581999999999997,0.366541
3647,1.1743700000000001,4.2474099999999995,0.233763,-0.052941199999999994,2.48886,0.482375,0.460133
3648,-0.7035279999999999,1.30515,0.133726,-0.025005,0.522405,0.177792,-0.382749
3649,1.6382700000000001,-3.13524,0.386486,0.11821199999999998,0.00613841,-0.220847,0.137126
3650,1.5643,-2.72169,0.38973,0.11722300000000001,-0.05926030000000001,-0.275881,0.057285199999999994
3651,-5.57094,-2.9422,0.00984319,0.0180417,-0.0765462,-0.5265449999999999,0.0990971
3652,-0.335004,2.47483,0.130583,-0.027449900000000003,0.29830999999999996,-0.619413,0.41309300000000004
3653,-0.106647,3.3696900000000003,0.17321,-0.0404755,1.14164,-0.125628,0.7900010000000001
3654,-4.41407,-5.5727400000000005,0.0700789,0.06751230000000001,1.03539,-0.23769,-0.15983499999999998
3655,-2.50742,0.271894,0.112171,-0.0308665,2.56809,0.219175,0.07056230000000001
3656,-2.86859,5.13309,0.118479,-0.048960500000000004,1.8076400000000001,0.0315483,0.221595
3657,3.5387699999999995,4.25544,0.323741,-0.00878937,1.8972099999999998,-0.0393395,-0.19055999999999998
3658,-5.18216,-4.07547,0.018943900000000003,0.0326072,-0.0557751,-0.681829,0.108877
3659,-3.08204,0.633232,0.0982508,-0.0283558,1.80896,0.236855,-0.0395293
3660,0.811823,-0.270013,0.295577,0.0840043,2.93919,0.0416767,-0.49589799999999995
3661,-0.05355750000000001,0.170102,0.22075,0.013514700000000003,2.72769,-0.31712399999999996,-0.5161789999999999
3662,-9.369639999999999,-9.37295,0.0185036,0.00884861,2.20464,0.17214100000000002,0.225852
3663,9.3494,9.36002,0.307825,0.08466230000000001,1.01096,0.00195067,0.022842400000000002
3664,9.37247,-9.36961,0.399509,0.08287439999999999,1.01474,0.00499754,-0.00661661
3665,-9.377989999999999,9.37233,0.0138625,-0.00881415,1.67698,0.161249,-0.261586
3666,9.409980000000001,-0.597641,0.48745200000000005,0.0786053,1.0114100000000001,0.659625,0.0550385
3667,9.410919999999999,5.589519999999999,0.39671300000000004,0.100367,1.0258200000000002,0.189108,-0.064621
3668,-5.613230000000001,-9.41858,0.130435,0.07362360000000001,1.90267,-0.018278700000000002,0.13434000000000001
3669,-9.4117,5.596369999999999,0.00853445,-0.00199106,1.10901,0.269447,-0.08839860000000001
3670,-9.41956,4.41009,0.00769611,-0.000948912,1.0146600000000001,0.246781,-0.042692
3671,9.40938,4.40228,0.425737,0.101228,1.0224600000000001,0.35713,-0.09393660000000001
3672,-4.438680000000001,-9.41269,0.16078199999999998,0.10475699999999999,1.68887,-0.00718597,0.203217
3673,-9.410839999999999,-5.59132,0.00619625,-0.000249881,0.804724,0.22464499999999998,-0.027928500000000002
3674,-9.40934,-4.40295,0.00386556,4.80997e-05,0.499438,0.196327,-0.00925952
