ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          U-U1,          U-U2,         S-S11,         S-S22,         S-S12
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9082,       3.89573,       6.16322,            0.,NA,NA,"",   63.9160E-03,  -62.2779E-03,       1.14793,  -6.38986E-03,   80.7303E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9083,       5.90897,       4.66504,            0.,NA,NA,"",   110.499E-03,  -34.2304E-03,       1.19744,  -112.525E-03,  -18.2347E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9084,       3.92464,       5.37555,            0.,NA,NA,"",   69.3013E-03,  -57.8975E-03,       1.21474,  -15.4775E-03,   72.0472E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9085,       6.00926,       4.22373,            0.,NA,NA,"",   116.836E-03,  -30.2543E-03,       1.20739,  -134.301E-03,  -47.4257E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9086,       6.28723,       5.26237,            0.,NA,NA,"",   111.292E-03,  -34.6205E-03,       1.15351,  -83.6067E-03,  -6.73646E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9087,       4.72112,       6.26809,            0.,NA,NA,"",   76.8621E-03,  -55.2806E-03,       1.13271,  -33.3897E-03,   69.1886E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9088,       4.43957,       6.27564,            0.,NA,NA,"",   72.1896E-03,  -57.9364E-03,       1.13456,  -24.5967E-03,   74.6958E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9089,       6.19712,       5.52397,            0.,NA,NA,"",   107.368E-03,  -37.0409E-03,       1.14455,  -74.9771E-03,   6.89998E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9090,       6.30109,       5.33109,            0.,NA,NA,"",   110.885E-03,  -34.9134E-03,       1.14995,  -81.0426E-03,  -4.52813E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9091,       4.63072,       6.31257,            0.,NA,NA,"",   75.0814E-03,  -56.3611E-03,       1.13006,  -29.7871E-03,   71.4876E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9092,       3.84712,       5.99713,            0.,NA,NA,"",   64.0798E-03,  -61.8707E-03,       1.16298,  -5.50994E-03,   80.1050E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9093,       6.18496,       5.33751,            0.,NA,NA,"",   108.860E-03,  -36.0212E-03,       1.15430,  -81.9004E-03,   216.560E-06
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9094,       4.71105,       6.16534,            0.,NA,NA,"",   77.3956E-03,  -54.8226E-03,       1.14034,  -35.0741E-03,   68.5051E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9095,       6.15957,       6.30405,            0.,NA,NA,"",   100.034E-03,  -41.8675E-03,       1.10480,  -50.5504E-03,   31.5876E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9096,       5.98231,       6.40774,            0.,NA,NA,"",   96.3418E-03,  -44.1093E-03,       1.10331,  -47.9265E-03,   38.5667E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9097,       4.71153,       5.09730,            0.,NA,NA,"",   85.2635E-03,  -48.6609E-03,       1.21928,  -63.2916E-03,   49.5844E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9098,       4.91523,       5.10540,            0.,NA,NA,"",   88.8213E-03,  -46.6996E-03,       1.21319,  -72.1836E-03,   42.7864E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9099,       4.50820,       6.39246,            0.,NA,NA,"",   72.5600E-03,  -57.9131E-03,       1.12501,  -24.7946E-03,   74.2537E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9100,       6.31987,       5.41803,            0.,NA,NA,"",   110.393E-03,  -35.2710E-03,       1.14522,  -77.7057E-03,  -1.58723E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9101,       6.26001,       4.69708,            0.,NA,NA,"",   116.337E-03,  -31.2617E-03,       1.17826,  -107.070E-03,  -32.6846E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9102,       5.32109,       6.27070,            0.,NA,NA,"",   86.6822E-03,  -49.6306E-03,       1.12424,  -46.0822E-03,   54.9453E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9103,       6.37178,       5.00268,            0.,NA,NA,"",   115.222E-03,  -32.2347E-03,       1.16047,  -92.0414E-03,  -21.9800E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9104,       5.07053,       6.40786,            0.,NA,NA,"",   81.6006E-03,  -52.7467E-03,       1.11822,  -38.3168E-03,   62.9324E-03
E:/Wei/20200707-PINN/FE/Job-CH-ellip-2.odb,Step-1,Increment      1: Step Time =    1.000,"PART-1-1",          9105,       3.78698,       5.72937,            0.,NA,NA,"",   64.6649E-03,  -61.0380E-03,       1.18657,  -4.56664E-03,   78.0242E-03
